anio,mes,categoria,detalle,monto,hoja,etiqueta
2025,11,Casas,Encinos,47000,NOV25,RENTAENCINOS
2025,11,Facturaciones,Facturaciones,37000,NOV25,FACTURACIONES
2025,11,Local,Local,16500,NOV25,RENTA LOCAL
2025,12,Casas,Candy,22000,dic25,RENTA CANDY
2025,12,Casas,Encinos,20000,dic25,RENTAENCINOS
2025,12,Facturaciones,Facturaciones,40000,dic25,FACTURACIONES
2025,12,Local,Local,20000,dic25,RENTA LOCAL
2026,1,Casas,Candy,17050,ENE 26,RENTA CANDY
2026,1,Casas,Encinos,10500,ENE 26,RENTAENCINOS
2026,1,Casas,San Carlos,7050,ENE 26,SAN CARLOS
2026,1,Facturaciones,Facturaciones,11000,ENE 26,FACTURACIONES
2026,1,Local,Local,43000,ENE 26,RENTA LOCAL
2026,2,Casas,Candy,34800,FEB 26,RENTA CANDY
2026,2,Casas,Encinos,17000,FEB 26,RENTAENCINOS
2026,2,Casas,San Carlos,10700,FEB 26,SAN CARLOS
2026,2,Local,Local,14640,FEB 26,RENTA LOCAL
2026,3,Casas,Candy,7700,mar26,RENTA CANDY
2026,3,Casas,Encinos,55400,mar26,RENTAENCINOS
2026,3,Casas,San Carlos,15500,mar26,SAN CARLOS
2026,3,Facturaciones,Facturaciones,5000,mar26,FACTURACIONES
2026,3,Local,Local,14000,mar26,RENTA LOCAL
2026,4,Casas,Candy,20300,abril 26,RENTA CANDY
2026,4,Casas,Encinos,35899,abril 26,RENTAENCINOS
2026,4,Casas,San Carlos,40300,abril 26,SAN CARLOS
2026,4,Facturaciones,Facturaciones,12000,abril 26,FACTURACIONES
2026,4,Local,Local,15500,abril 26,RENTA LOCAL
2026,5,Casas,Candy,30000,MAY026,RENTA CANDY
2026,5,Casas,Encinos,31800,MAY026,RENTAENCINOS
2026,5,Casas,San Carlos,28450,MAY026,SAN CARLOS
2026,5,Facturaciones,Facturaciones,6000,MAY026,FACTURACIONES
2026,5,Local,Local,20000,MAY026,RENTA LOCAL
